銘柄,社名,業種
3186,ネクステージ,小売業
3191,ジョイフル本田,小売業
3193,エターナルホスピタリティグループ,小売業
3196,ホットランド,小売業
3197,すかいらーくホールディングス,小売業
3198,SFPホールディングス,小売業
3199,綿半ホールディングス,小売業
3201,日本毛織,繊維製品
3221,ヨシックスホールディングス,小売業
3231,野村不動産ホールディングス,不動産業
3232,三重交通グループホールディングス,不動産業
3245,ディア・ライフ,不動産業
3252,地主,不動産業
3276,JPMC,不動産業
3284,フージャースホールディングス,不動産業
3288,オープンハウスグループ,不動産業
3289,東急不動産ホールディングス,不動産業
3291,飯田グループホールディングス,不動産業
3302,帝国繊維,繊維製品
3315,日本コークス工業,石油・石炭製品
3319,ゴルフダイジェスト・オンライン,小売業
3328,BEENOS,小売業
3333,あさひ,小売業
3341,日本調剤,小売業
3349,コスモス薬品,小売業
3360,シップヘルスケアホールディングス,卸売業
3371,ソフトクリエイトホールディングス,情報・通信業
3382,セブン&アイ・ホールディングス,小売業
3387,クリエイト・レストランツ・ホールディングス,小売業
3388,明治電機工業,卸売業
3391,ツルハホールディングス,小売業
3393,スターティアホールディングス,卸売業
3395,サンマルクホールディングス,小売業
3397,トリドールホールディングス,小売業
3401,帝人,繊維製品
3402,東レ,繊維製品
3405,クラレ,化学
3407,旭化成,化学
3415,TOKYO BASE,小売業
3431,宮地エンジニアリンググループ,金属製品
3433,トーカロ,金属製品
3436,SUMCO,金属製品
3443,川田テクノロジーズ,金属製品
3445,RS Technologies,金属製品
3446,ジェイテックコーポレーション,金属製品
3457,And Doホールディングス,不動産業
3458,シーアールイー,不動産業
3465,ケイアイスター不動産,不動産業
3475,グッドコムアセット,不動産業
3480,ジェイ・エス・ビー,不動産業
3482,ロードスターキャピタル,不動産業
3484,テンポイノベーション,不動産業
3486,グローバル・リンク・マネジメント,不動産業
3498,霞ヶ関キャピタル,不動産業
3501,住江織物,繊維製品
3539,JMホールディングス,小売業
3543,コメダホールディングス,卸売業
3546,アレンザホールディングス,小売業
3548,バロックジャパンリミテッド,小売業
3549,クスリのアオキホールディングス,小売業
3561,力の源ホールディングス,小売業
3563,FOOD & LIFE COMPANIES,小売業
3569,セーレン,繊維製品
3580,小松マテーレ,繊維製品
3591,ワコールホールディングス,繊維製品
3593,ホギメディカル,繊維製品
3608,TSIホールディングス,繊維製品
3612,ワールド,繊維製品
3626,TIS,情報・通信業
3632,グリー,情報・通信業
3635,コーエーテクモホールディングス,情報・通信業
3636,三菱総合研究所,情報・通信業
3649,ファインデックス,情報・通信業
3655,ブレインパッド,情報・通信業
3656,KLab,情報・通信業
3657,ポールトゥウィンホールディングス,情報・通信業
3659,ネクソン,情報・通信業
3660,アイスタイル,情報・通信業
3661,エムアップホールディングス,情報・通信業
3662,エイチーム,情報・通信業
3663,セルシス,情報・通信業
3665,エニグモ,情報・通信業
3668,コロプラ,情報・通信業
3673,ブロードリーフ,情報・通信業
3675,クロス・マーケティンググループ,情報・通信業
3676,デジタルハーツホールディングス,情報・通信業
3678,メディアドゥ,情報・通信業
3679,じげん,情報・通信業
3681,ブイキューブ,情報・通信業
3687,フィックスターズ,情報・通信業
3688,CARTA HOLDINGS,情報・通信業
3694,オプティム,情報・通信業
3696,セレス,情報・通信業
3697,SHIFT,情報・通信業
3708,特種東海製紙,パルプ・紙
3738,ティーガイア,情報・通信業
3741,セック,情報・通信業
3762,テクマトリックス,情報・通信業
3763,プロシップ,情報・通信業
3765,ガンホー・オンライン・エンターテイメント,情報・通信業
3769,GMOペイメントゲートウェイ,情報・通信業
3771,システムリサーチ,情報・通信業
3774,インターネットイニシアティブ,情報・通信業
3778,さくらインターネット,情報・通信業
3788,GMOグローバルサイン・ホールディングス,情報・通信業
3817,SRAホールディングス,情報・通信業
3834,朝日ネット,情報・通信業
3835,eBASE,情報・通信業
3836,アバントグループ,情報・通信業
3837,アドソル日進,情報・通信業
3843,フリービット,情報・通信業
3844,コムチュア,情報・通信業
3853,アステリア,情報・通信業
3854,アイル,情報・通信業
3861,王子ホールディングス,パルプ・紙
3863,日本製紙,パルプ・紙
3864,三菱製紙,パルプ・紙
3865,北越コーポレーション,パルプ・紙
3877,中越パルプ工業,パルプ・紙
3880,大王製紙,パルプ・紙
3901,マークラインズ,情報・通信業
3902,メディカル・データ・ビジョン,情報・通信業
3903,gumi,情報・通信業
3915,テラスカイ,情報・通信業
3916,デジタル・インフォメーション・テクノロジー,情報・通信業
3921,ネオジャパン,情報・通信業
3922,PR TIMES,情報・通信業
3923,ラクス,情報・通信業
3924,ランドコンピュータ,情報・通信業
3925,ダブルスタンダード,情報・通信業
3926,オープンドア,情報・通信業
3932,アカツキ,情報・通信業
3937,Ubicomホールディングス,情報・通信業
3939,カナミックネットワーク,情報・通信業
3941,レンゴー,パルプ・紙
3946,トーモク,パルプ・紙
3950,ザ・パック,パルプ・紙
3962,チェンジホールディングス,情報・通信業
3963,シンクロ・フード,情報・通信業
3964,オークネット,情報・通信業
3968,セグエグループ,情報・通信業
3978,マクロミル,情報・通信業
3983,オロ,情報・通信業
3984,ユーザーローカル,情報・通信業
3992,ニーズウェル,情報・通信業
3993,PKSHA Technology,情報・通信業
3994,マネーフォワード,情報・通信業
4004,レゾナック・ホールディングス,化学
4005,住友化学,化学
4008,住友精化,化学
4021,日産化学,化学
4022,ラサ工業,化学
4023,クレハ,化学
4025,多木化学,化学
4027,テイカ,化学
4028,石原産業,化学
4041,日本曹達,化学
4042,東ソー,化学
4043,トクヤマ,化学
4044,セントラル硝子,化学
4045,東亞合成,化学
4046,大阪ソーダ,化学
4047,関東電化工業,化学
4053,Sun Asterisk,情報・通信業
4061,デンカ,化学
4062,イビデン,電気機器
4063,信越化学工業,化学
4064,日本カーバイド工業,化学
4071,プラスアルファ・コンサルティング,情報・通信業
4072,電算システムホールディングス,情報・通信業
4078,堺化学工業,化学
4082,第一稀元素化学工業,化学
4088,エア・ウォーター,化学
4091,日本酸素ホールディングス,化学
4092,日本化学工業,化学
4093,東邦アセチレン,化学
4095,日本パーカライジング,化学
4097,高圧ガス工業,化学
4099,四国化成工業,化学
4109,ステラ ケミファ,化学
4112,保土谷化学工業,化学
4114,日本触媒,化学
4116,大日精化工業,化学
4118,カネカ,化学
4151,協和キリン,医薬品
4180,Appier Group,情報・通信業
4182,三菱瓦斯化学,化学
4183,三井化学,化学
4186,東京応化工業,化学
4187,大阪有機化学工業,化学
4188,三菱ケミカルグループ,化学
4189,KHネオケム,化学
4194,ビジョナル,情報・通信業
4202,ダイセル,化学
4203,住友ベークライト,化学
4204,積水化学工業,化学
4205,日本ゼオン,化学
4206,アイカ工業,化学
4208,UBE,化学
4212,積水樹脂,化学
4215,タキロンシーアイ,化学
4216,旭有機材,化学
4218,ニチバン,化学
4220,リケンテクノス,化学
4221,大倉工業,化学
4228,積水化成品工業,化学
4229,群栄化学工業,化学
4246,ダイキョーニシカワ,化学
4249,森六ホールディングス,化学
4251,恵和,化学
4272,日本化薬,化学
4275,カーリット,化学
4290,プレステージ・インターナショナル,サービス業
4298,プロトコーポレーション,情報・通信業
4301,アミューズ,サービス業
4307,野村総合研究所,情報・通信業
4310,ドリームインキュベータ,サービス業
4318,クイック,サービス業
4323,日本システム技術,情報・通信業
4324,電通グループ,サービス業
4326,インテージホールディングス,情報・通信業
4331,テイクアンドギヴ・ニーズ,サービス業
4333,東邦システムサイエンス,情報・通信業
4337,ぴあ,サービス業
4343,イオンファンタジー,サービス業
4344,ソースネクスト,情報・通信業
4345,シーティーエス,サービス業
4362,日本精化,化学
4368,扶桑化学工業,化学
4369,トリケミカル研究所,化学
4373,シンプレクス・ホールディングス,情報・通信業
4384,ラクスル,情報・通信業
4385,メルカリ,情報・通信業
4390,IPS,情報・通信業
4392,FIG,情報・通信業
4396,システムサポート,情報・通信業
4401,ADEKA,化学
4403,日油,化学
4410,ハリマ化成グループ,化学
4432,ウイングアーク1st,情報・通信業
4433,ヒト・コミュニケーションズ・ホールディングス,情報・通信業
4443,Sansan,情報・通信業
4446,Link-U,情報・通信業
4449,ギフティ,情報・通信業
4452,花王,化学
4461,第一工業製薬,化学
4462,石原ケミカル,化学
4471,三洋化成工業,化学
4480,メドレー,情報・通信業
4481,ベース,情報・通信業
4483,JMDC,情報・通信業
4502,武田薬品工業,医薬品
4503,アステラス製薬,医薬品
4506,住友ファーマ,医薬品
4507,塩野義製薬,医薬品
4516,日本新薬,医薬品
4519,中外製薬,医薬品
4521,科研製薬,医薬品
4523,エーザイ,医薬品
4526,理研ビタミン,食料品
4527,ロート製薬,医薬品
4528,小野薬品工業,医薬品
4530,久光製薬,医薬品
4534,持田製薬,医薬品
4536,参天製薬,医薬品
4538,扶桑薬品工業,医薬品
4540,ツムラ,医薬品
4543,テルモ,精密機器
4544,H.U.グループホールディングス,サービス業
4547,キッセイ薬品工業,医薬品
4548,生化学工業,医薬品
4549,栄研化学,医薬品
4551,鳥居薬品,医薬品
4552,JCRファーマ,医薬品
4553,東和薬品,医薬品
4554,富士製薬工業,医薬品
4559,ゼリア新薬工業,医薬品
4565,ネクセラファーマ,医薬品
4568,第一三共,医薬品
4569,杏林製薬,医薬品
4574,大幸薬品,医薬品
4577,ダイト,医薬品
4578,大塚ホールディングス,医薬品
4587,ペプチドリーム,医薬品
4611,大日本塗料,化学
4612,日本ペイントホールディングス,化学
4613,関西ペイント,化学
4617,中国塗料,化学
4626,太陽ホールディングス,化学
4631,DIC,化学
4633,サカタインクス,化学
4634,artience,化学
4641,アルプス技研,サービス業
4658,日本空調サービス,サービス業
4661,オリエンタルランド,サービス業
4662,フォーカスシステムズ,情報・通信業
4665,ダスキン,サービス業
4666,パーク24,不動産業
4668,明光ネットワークジャパン,サービス業
4674,クレスコ,情報・通信業
4676,フジ・メディア・ホールディングス,情報・通信業
4680,ラウンドワン,サービス業
4681,リゾートトラスト,サービス業
4684,オービック,情報・通信業
4686,ジャストシステム,情報・通信業
4687,TDCソフト,情報・通信業
4689,LINEヤフー,情報・通信業
4694,ビー・エム・エル,サービス業
4704,トレンドマイクロ,情報・通信業
4709,IDホールディングス,情報・通信業
4714,リソー教育,サービス業
4718,早稲田アカデミー,サービス業
4719,アルファシステムズ,情報・通信業
4722,フューチャー,情報・通信業
4725,CAC Holdings,情報・通信業
4732,ユー・エス・エス,サービス業
4733,オービックビジネスコンサルタント,情報・通信業
4743,アイティフォー,情報・通信業
4751,サイバーエージェント,サービス業
4755,楽天グループ,サービス業
4763,クリーク・アンド・リバー社,サービス業
4765,SBIグローバルアセットマネジメント,サービス業
4768,大塚商会,情報・通信業
4776,サイボウズ,情報・通信業
4792,山田コンサルティンググループ,サービス業
4801,セントラルスポーツ,サービス業
4809,パラカ,不動産業
4812,電通国際情報サービス,情報・通信業
4813,ACCESS,情報・通信業
4819,デジタルガレージ,情報・通信業
4820,イーエムシステムズ,情報・通信業
4825,ウェザーニューズ,情報・通信業
4826,CIJ,情報・通信業
4828,ビジネスエンジニアリング,情報・通信業
4839,WOWOW,情報・通信業
4845,スカラ,情報・通信業
4847,インテリジェント ウェイブ,情報・通信業
4848,フルキャストホールディングス,サービス業
4849,エン・ジャパン,サービス業
4880,セルソース,医薬品
4886,あすか製薬ホールディングス,医薬品
4887,サワイグループホールディングス,医薬品
4901,富士フイルムホールディングス,化学
4902,コニカミノルタ,電気機器
4911,資生堂,化学
4912,ライオン,化学
4914,高砂香料工業,化学
4917,マンダム,化学
4919,ミルボン,化学
4921,ファンケル,化学
4922,コーセー,化学
4923,コタ,化学
4927,ポーラ・オルビスホールディングス,化学
4928,ノエビアホールディングス,化学
4931,新日本製薬,化学
4933,I-ne,化学
4936,アクシージア,化学
4951,エステー,化学
4956,コニシ,化学
4958,長谷川香料,化学
4967,小林製薬,化学
4968,荒川化学工業,化学
4971,メック,化学
4973,日本高純度化学,化学
4974,タカラバイオ,化学
4975,JCU,化学
4980,デクセリアルズ,化学
4985,アース製薬,化学
4996,クミアイ化学工業,化学
4997,日本農薬,化学
5011,ニチレキ,石油・石炭製品
5017,富士石油,石油・石炭製品
5019,出光興産,石油・石炭製品
5020,ENEOSホールディングス,石油・石炭製品
5021,コスモエネルギーホールディングス,石油・石炭製品
5032,ANYCOLOR,情報・通信業
5074,テスホールディングス,建設業
5076,インフロニア・ホールディングス,建設業
5101,横浜ゴム,ゴム製品
5105,TOYO TIRE,ゴム製品
5108,ブリヂストン,ゴム製品
5110,住友ゴム工業,ゴム製品
5121,藤倉コンポジット,ゴム製品
5122,オカモト,ゴム製品
5142,アキレス,化学
5185,フコク,ゴム製品
5186,ニッタ,ゴム製品
5191,住友理工,ゴム製品
5192,三ツ星ベルト,ゴム製品
5195,バンドー化学,ゴム製品
5201,AGC,ガラス・土石製品
5202,日本板硝子,ガラス・土石製品
5208,有沢製作所,化学
5214,日本電気硝子,ガラス・土石製品
5232,住友大阪セメント,ガラス・土石製品
5233,太平洋セメント,ガラス・土石製品
5261,リソルホールディングス,サービス業
5262,日本ヒューム,ガラス・土石製品
5269,日本コンクリート工業,ガラス・土石製品
5288,アジアパイルホールディングス,ガラス・土石製品
5301,東海カーボン,ガラス・土石製品
5302,日本カーボン,ガラス・土石製品
5310,東洋炭素,ガラス・土石製品
5331,ノリタケ,ガラス・土石製品
5332,TOTO,ガラス・土石製品
5333,日本碍子,ガラス・土石製品
5334,日本特殊陶業,ガラス・土石製品
5344,MARUWA,ガラス・土石製品
5351,品川リフラクトリーズ,ガラス・土石製品
5352,黒崎播磨,ガラス・土石製品
5357,ヨータイ,ガラス・土石製品
5384,フジミインコーポレーテッド,ガラス・土石製品
5393,ニチアス,ガラス・土石製品
5401,日本製鉄,鉄鋼
5406,神戸製鋼所,鉄鋼
5408,中山製鋼所,鉄鋼
5410,合同製鐵,鉄鋼
5411,JFEホールディングス,鉄鋼
5423,東京製鐵,鉄鋼
5440,共英製鋼,鉄鋼
5444,大和工業,鉄鋼
5445,東京鐵鋼,鉄鋼
5451,淀川製鋼所,鉄鋼
5461,中部鋼鈑,鉄鋼
5463,丸一鋼管,鉄鋼
5471,大同特殊鋼,鉄鋼
5480,日本冶金工業,鉄鋼
5481,山陽特殊製鋼,鉄鋼
5482,愛知製鋼,鉄鋼
5535,ミガロホールディングス,不動産業
5541,大平洋金属,鉄鋼
5563,新日本電工,鉄鋼
5602,栗本鐵工所,鉄鋼
5631,日本製鋼所,機械
5632,三菱製鋼,鉄鋼
5659,日本精線,鉄鋼
5698,エンビプロ・ホールディングス,鉄鋼
5702,大紀アルミニウム工業所,非鉄金属
5703,日本軽金属ホールディングス,非鉄金属
5706,三井金属鉱業,非鉄金属
5707,東邦亜鉛,非鉄金属
5711,三菱マテリアル,非鉄金属
5713,住友金属鉱山,非鉄金属
5714,DOWAホールディングス,非鉄金属
5715,古河機械金属,非鉄金属
5726,大阪チタニウムテクノロジーズ,非鉄金属
5727,東邦チタニウム,非鉄金属
5741,UACJ,非鉄金属
5757,CKサンエツ,非鉄金属
5801,古河電気工業,非鉄金属
5802,住友電気工業,非鉄金属
5803,フジクラ,非鉄金属
5805,SWCC,非鉄金属
5809,タツタ電線,非鉄金属
5821,平河ヒューテック,非鉄金属
5830,いよぎんホールディングス,銀行業
5831,しずおかフィナンシャルグループ,銀行業
5832,ちゅうぎんフィナンシャルグループ,銀行業
5838,楽天銀行,銀行業
5844,京都フィナンシャルグループ,銀行業
5851,リョービ,非鉄金属
5852,アーレスティ,非鉄金属
5857,アサヒホールディングス,非鉄金属
5901,東洋製罐グループホールディングス,金属製品
5902,ホッカンホールディングス,金属製品
5911,横河ブリッジホールディングス,金属製品
5915,駒井ハルテック,金属製品
5929,三和ホールディングス,金属製品
5930,文化シヤッター,金属製品
5932,三協立山,金属製品
5933,アルインコ,金属製品
5938,LIXIL,金属製品
5943,ノーリツ,金属製品
5946,長府製作所,金属製品
5947,リンナイ,金属製品
5949,ユニプレス,輸送用機器
5957,日東精工,金属製品
5959,岡部,金属製品
5970,ジーテクト,金属製品
5975,東プレ,金属製品
5976,高周波熱錬,金属製品
5981,東京製綱,金属製品
5988,パイオラックス,金属製品
5989,エイチワン,金属製品
5991,日本発條,金属製品
6005,三浦工業,機械
6013,タクマ,機械
6028,テクノプロ・ホールディングス,サービス業
6035,アイ・アール ジャパンホールディングス,サービス業
6036,KeePer技研,サービス業
6047,Gunosy,サービス業
6050,イー・ガーディアン,サービス業
6055,ジャパンマテリアル,サービス業
6058,ベクトル,サービス業
6062,チャーム・ケア・コーポレーション,サービス業
6070,キャリアリンク,サービス業
6071,IBJ,サービス業
6073,アサンテ,サービス業
6078,バリューHR,サービス業
6080,M&Aキャピタルパートナーズ,サービス業
6087,アビスト,サービス業
6088,シグマクシス・ホールディングス,サービス業
6089,ウィルグループ,サービス業
6095,メドピア,サービス業
6098,リクルートホールディングス,サービス業
6099,エラン,サービス業
6101,ツガミ,機械
6103,オークマ,機械
6104,芝浦機械,機械
6113,アマダ,機械
6118,アイダエンジニアリング,機械
6134,FUJI,機械
6135,牧野フライス製作所,機械
6136,オーエスジー,機械
6140,旭ダイヤモンド工業,機械
6141,DMG森精機,機械
6143,ソディック,機械
6146,ディスコ,機械
6151,日東工器,機械
6157,日進工具,機械
6167,冨士ダイス,機械
6178,日本郵政,サービス業
6183,ベルシステム24ホールディングス,サービス業
6184,鎌倉新書,サービス業
6191,エアトリ,サービス業
6194,アトラエ,サービス業
6196,ストライク,サービス業
6197,ソラスト,サービス業
6200,インソース,サービス業
6201,豊田自動織機,輸送用機器
6209,リケンNPR,機械
6222,島精機製作所,機械
6235,オプトラン,機械
6237,イワキポンプ,機械
6238,フリュー,機械
6240,ヤマシンフィルタ,機械
6247,日阪製作所,機械
6250,やまびこ,機械
6254,野村マイクロ・サイエンス,機械
6258,平田機工,機械
6262,PEGASUS,機械
6264,マルマエ,機械
6266,タツモ,機械
6268,ナブテスコ,機械
6269,三井海洋開発,機械
6272,レオン自動機,機械
6273,SMC,機械
6277,ホソカワミクロン,機械
6278,ユニオンツール,機械
6279,瑞光,機械
6282,オイレス工業,機械
6284,日精エー・エス・ビー機械,機械
6287,サトーホールディングス,機械
6289,技研製作所,機械
6293,日精樹脂工業,機械
6294,オカダアイヨン,機械
6298,ワイエイシイホールディングス,機械
6301,小松製作所,機械
6302,住友重機械工業,機械
6305,日立建機,機械
6306,日工,機械
6309,巴工業,機械
6310,井関農機,機械
6315,TOWA,機械
6323,ローツェ,機械
6326,クボタ,機械
6328,荏原実業,機械
6330,東洋エンジニアリング,建設業
6331,三菱化工機,機械
6332,月島ホールディングス,機械
6333,帝国電機製作所,機械
6339,新東工業,機械
6340,澁谷工業,機械
6345,アイチコーポレーション,機械
6349,小森コーポレーション,機械
6351,鶴見製作所,機械
6358,酒井重工業,機械
6361,荏原製作所,機械
6363,酉島製作所,機械
6364,北越工業,機械
6367,ダイキン工業,機械
6368,オルガノ,機械
6369,トーヨーカネツ,機械
6370,栗田工業,機械
6371,椿本チエイン,機械
6376,日機装,精密機器
6379,レイズネクスト,建設業
6381,アネスト岩田,機械
6383,ダイフク,機械
6387,サムコ,機械
