銘柄,社名,業種
2329,東北新社,情報・通信業
2330,フォーサイド,情報・通信業
2332,クエスト[要曖昧さ回避],情報・通信業
2338,クオンタムソリューションズ,情報・通信業
2340,極楽湯ホールディングス,サービス業
2341,アルバイトタイムス,サービス業
2344,平安レイサービス,サービス業
2345,クシム,情報・通信業
2349,エヌアイデイ,情報・通信業
2354,YE DIGITAL,情報・通信業
2373,ケア21,サービス業
2375,ギグワークス,サービス業
2376,サイネックス,サービス業
2391,プラネット[要曖昧さ回避],サービス業
2393,日本ケアサプライ,サービス業
2397,DNAチップ研究所,サービス業
2404,鉄人化ホールディングス,サービス業
2408,KG情報,サービス業
2411,ゲンダイエージェンシー,情報・通信業
2415,ヒューマンホールディングス,サービス業
2418,ツカダ・グローバルホールディング,サービス業
2424,ブラス,サービス業
2425,ケアサービス,サービス業
2428,ウェルネット,サービス業
2435,シダー,サービス業
2436,共同ピーアール,サービス業
2437,Shinwa Wise Holdings,サービス業
2449,プラップジャパン,サービス業
2454,オールアバウト,サービス業
2459,アウンコンサルティング,サービス業
2464,Aoba-BBT,サービス業
2469,ヒビノ,サービス業
2477,手間いらず,情報・通信業
2480,システム・ロケーション,情報・通信業
2481,タウンニュース社,サービス業
2483,翻訳センター,サービス業
2484,出前館,情報・通信業
2485,ティア,サービス業
2487,CDG,サービス業
2488,JTP,サービス業
2493,イーサポートリンク,サービス業
2498,オリエンタルコンサルタンツホールディングス,サービス業
2499,日本和装ホールディングス,サービス業
2573,北海道コカ・コーラボトリング,食料品
2588,プレミアムウォーターホールディングス,食料品
2597,ユニカフェ,食料品
2612,かどや製油,食料品
2652,まんだらけ,小売業
2653,イオン九州,小売業
2654,アスモ,小売業
2656,ベクターホールディングス,小売業
2666,オートウェーブ,小売業
2667,イメージ ワン,卸売業
2668,タビオ,卸売業
2669,カネ美食品,小売業
2673,夢みつけ隊,小売業
2683,魚喜,小売業
2686,ジーフット,小売業
2687,シー・ヴイ・エス・ベイエリア,小売業
2689,オルバヘルスケアホールディングス,卸売業
2693,YKT,卸売業
2694,焼肉坂井ホールディングス,小売業
2698,キャンドゥ,小売業
2700,木徳神糧,卸売業
2702,日本マクドナルドホールディングス,小売業
2705,大戸屋ホールディングス,小売業
2708,久世,卸売業
2721,ジェイホールディングス,卸売業
2722,IKホールディングス,小売業
2735,ワッツ,小売業
2736,フェスタリアホールディングス,小売業
2743,ピクセルカンパニーズ,卸売業
2747,北雄ラッキー,小売業
2750,石光商事,卸売業
2751,テンポスホールディングス,卸売業
2754,東葛ホールディングス,小売業
2762,SANKO MARKETING FOODS,小売業
2763,エフティグループ,卸売業
2764,ひらまつ,小売業
2769,ヴィレッジヴァンガードコーポレーション,小売業
2776,新都ホールディングス,卸売業
2778,パレモ・ホールディングス,小売業
2780,コメ兵ホールディングス,小売業
2782,セリア,小売業
2788,アップルインターナショナル,卸売業
2789,カルラ,小売業
2790,ナフコ,小売業
2795,日本プリメックス,卸売業
2796,ファーマライズホールディングス,小売業
2798,ワイズテーブルコーポレーション,小売業
2805,ヱスビー食品,食料品
2806,ユタカフーズ,食料品
2813,和弘食品,食料品
2814,佐藤食品工業,食料品
2816,ダイショー,食料品
2818,ピエトロ,食料品
2819,エバラ食品工業,食料品
2820,やまみ,食料品
2830,アヲハタ,食料品
2831,はごろもフーズ,食料品
2872,セイヒョー,食料品
2876,デルソーレ,食料品
2877,日東ベスト,食料品
2883,大冷,食料品
2892,日本食品化工,食料品
2894,石井食品,食料品
2901,ウェルディッシュ,食料品
2903,シノブフーズ,食料品
2904,一正蒲鉾,食料品
2907,あじかん,食料品
2911,旭松食品,食料品
2916,仙波糖化工業,食料品
2917,大森屋,食料品
2923,サトウ食品,食料品
2924,イフジ産業,食料品
2926,篠崎屋,食料品
2927,AFC-HDアムスライフサイエンス,食料品
2932,STIフードホールディングス,食料品
2938,オカムラ食品工業,食料品
2961,日本調理機,金属製品
2962,テクニスコ,金属製品
2970,グッドライフカンパニー,不動産業
2984,ヤマイチ・ユニハイムエステート,不動産業
2991,ランドネット,不動産業
2993,長栄,不動産業
2999,ホームポジション,不動産業
3001,片倉工業,繊維製品
3004,神栄,卸売業
3010,ポラリス・ホールディングス,サービス業
3011,バナーズ,小売業
3020,アプライド,小売業
3021,パシフィックネット,サービス業
3023,ラサ商事,卸売業
3024,クリエイト,卸売業
3030,ハブ,小売業
3035,ケイティケイ,卸売業
3041,ビューティカダンホールディングス,卸売業
3045,カワサキ,卸売業
3053,ペッパーフードサービス,小売業
3054,ハイパー,卸売業
3058,三洋堂ホールディングス,小売業
3059,ヒラキ,小売業
3065,ライフフーズ,小売業
3067,東京一番フーズ,小売業
3068,WDI,小売業
3069,JFLAホールディングス,小売業
3071,ストリーム,小売業
3075,銚子丸,小売業
3077,ホリイフードサービス,小売業
3079,ディーブイエックス,卸売業
3080,ジェーソン,小売業
3082,きちりホールディングス,小売業
3083,シーズメン,小売業
3089,テクノアルファ,卸売業
3094,スーパーバリュー,小売業
3096,オーシャンシステム,小売業
3111,オーミケンシ,繊維製品
3113,UNIVA・Oakホールディングス,証券、商品先物取引業
3121,マーチャント・バンカーズ,サービス業
3123,サイボー,繊維製品
3131,シンデン・ハイテックス,卸売業
3134,Hamee,小売業
3143,オーウイル,卸売業
3157,ジオリーブグループ,卸売業
3159,丸善CHIホールディングス,小売業
3160,大光,卸売業
3161,アゼアス,卸売業
3166,OCHIホールディングス,卸売業
3168,黒谷,卸売業
3169,ミサワ,小売業
3172,ティーライフ,小売業
3173,Cominix,卸売業
3174,ハピネス・アンド・ディ,小売業
3175,エー・ピーホールディングス,小売業
3177,ありがとうサービス,小売業
3178,チムニー,小売業
3181,買取王国,小売業
3184,ICDAホールディングス,小売業
3189,ANAP,小売業
3190,ホットマン,小売業
3192,白鳩,小売業
3202,ダイトウボウ,繊維製品
3204,トーア紡コーポレーション,繊維製品
3205,ダイドーリミテッド,繊維製品
3222,ユナイテッド・スーパーマーケット・ホールディングス,小売業
3223,エスエルディー,小売業
3236,プロパスト,不動産業
3238,セントラル総合開発,不動産業
3241,ウィル,不動産業
3242,アーバネットコーポレーション,不動産業
3246,コーセーアールイー,不動産業
3248,アールエイジ,不動産業
3254,プレサンスコーポレーション,不動産業
3264,アスコット,不動産業
3266,ファンドクリエーショングループ,不動産業
3267,フィル・カンパニー,建設業
3271,THEグローバル社,不動産業
3275,ハウスコム,不動産業
3277,サンセイランディック,不動産業
3280,エストラスト,不動産業
3293,アズマハウス,不動産業
3294,イーグランド,不動産業
3297,東武住販,不動産業
3299,ムゲンエステート,不動産業
3306,日本製麻,卸売業
3317,フライングガーデン,小売業
3320,クロスプラス,卸売業
3321,ミタチ産業,卸売業
3322,アルファグループ,卸売業
3323,レカム,卸売業
3326,ランシステム,サービス業
3329,東和フードサービス,小売業
3347,トラスト,小売業
3350,メタプラネット,卸売業
3352,バッファロー,小売業
3353,メディカル一光グループ,小売業
3355,クリヤマホールディングス,卸売業
3358,ワイエスフード,小売業
3361,トーエル,小売業
3370,フジタコーポレーション,小売業
3372,関門海,小売業
3374,内外テック,卸売業
3375,ZOA,小売業
3377,バイク王&カンパニー,卸売業
3386,コスモ・バイオ,卸売業
3392,デリカフーズホールディングス,卸売業
3396,フェリシモ,小売業
3399,丸千代山岡家,小売業
3409,北日本紡績,繊維製品
3417,大木ヘルスケアホールディングス,卸売業
3420,ケー・エフ・シー,金属製品
3421,稲葉製作所,金属製品
3422,J-MAX,金属製品
3423,エスイー,金属製品
3426,アトムリビンテック,金属製品
3434,アルファ,金属製品
3435,サンコーテクノ,金属製品
3437,特殊電極,金属製品
3439,三ツ知,金属製品
3440,日創プロニティ,金属製品
3441,山王,金属製品
3444,菊池製作所,金属製品
3447,信和,金属製品
3449,テクノフレックス,金属製品
3452,ビーロット,不動産業
3454,ファーストブラザーズ,不動産業
3467,アグレ都市デザイン,不動産業
3469,デュアルタップ,不動産業
3489,フェイスネットワーク,不動産業
3490,アズ企画設計,不動産業
3494,マリオン,不動産業
3495,香陵住販,不動産業
3512,日本フエルト,繊維製品
3513,イチカワ,繊維製品
3521,エコナックホールディングス,サービス業
3524,日東製網,繊維製品
3526,芦森工業,輸送用機器
3529,アツギ,繊維製品
3536,アクサスホールディングス,小売業
3537,昭栄薬品,卸売業
3538,ウイルプラスホールディングス,小売業
3540,歯愛メディカル,卸売業
3544,サツドラホールディングス,小売業
3547,串カツ田中ホールディングス,小売業
3551,ダイニック,繊維製品
3553,共和レザー,化学
3559,ピーバンドットコム,卸売業
3560,ほぼ日,小売業
3562,No.1,卸売業
3565,アセンテック,卸売業
3571,ソトー,繊維製品
3577,東海染工,繊維製品
3583,オーベクス,繊維製品
3597,自重堂,繊維製品
3598,山喜,繊維製品
3600,フジックス,繊維製品
3604,川本産業,繊維製品
3607,クラウディアホールディングス,繊維製品
3611,マツオカコーポレーション,繊維製品
3627,テクミラホールディングス,情報・通信業
3633,GMOペパボ,情報・通信業
3634,ソケッツ,情報・通信業
3639,ボルテージ,情報・通信業
3640,電算,情報・通信業
3641,パピレス,情報・通信業
3647,ジー・スリーホールディングス,情報・通信業
3648,AGS,情報・通信業
3666,テクノスジャパン,情報・通信業
3667,enish,情報・通信業
3670,協立情報通信,情報・通信業
3672,オルトプラス,情報・通信業
3682,エンカレッジ・テクノロジ,情報・通信業
3683,サイバーリンクス,情報・通信業
3686,ディー・エル・イー,情報・通信業
3710,ジョルダン,情報・通信業
3712,情報企画,情報・通信業
3719,ジェクシード,情報・通信業
3726,フォーシーズHD,小売業
3733,ソフトウェア・サービス,情報・通信業
3744,サイオス,情報・通信業
3747,インタートレード,情報・通信業
3750,サイトリ細胞研究所,情報・通信業
3753,フライトソリューションズ,情報・通信業
3758,アエリア,情報・通信業
3760,ケイブ,情報・通信業
3766,システムズ・デザイン,情報・通信業
3768,リスクモンスター,情報・通信業
3770,ザッパラス,情報・通信業
3772,ウェルス・マネジメント,不動産業
3776,ブロードバンドタワー,情報・通信業
3779,ジェイ・エスコムホールディングス,情報・通信業
3787,テクノマセマティカル,情報・通信業
3791,IGポート,情報・通信業
3796,いい生活,情報・通信業
3798,ULSグループ,情報・通信業
3799,キーウェアソリューションズ,情報・通信業
3800,ユニリタ,情報・通信業
3802,エコミック,情報・通信業
3804,システム ディ,情報・通信業
3810,サイバーステップ,情報・通信業
3816,大和コンピューター,情報・通信業
3823,THE WHY HOW DO COMPANY,情報・通信業
3825,リミックスポイント,情報・通信業
3826,システムインテグレータ,情報・通信業
3839,ODKソリューションズ,情報・通信業
3840,パス,情報・通信業
3841,ジーダット,情報・通信業
3845,アイフリークモバイル,情報・通信業
3847,パシフィックシステム,情報・通信業
3848,データ・アプリケーション,情報・通信業
3850,エヌ・ティ・ティ・データ・イントラマート,情報・通信業
3851,日本一ソフトウェア,情報・通信業
3856,Abalance,電気機器
3857,ラック,情報・通信業
3858,ユビキタスAI,情報・通信業
3878,巴川コーポレーション,パルプ・紙
3891,ニッポン高度紙工業,パルプ・紙
3892,岡山製紙,パルプ・紙
3895,ハビックス,パルプ・紙
3896,阿波製紙,パルプ・紙
3909,ショーケース,情報・通信業
3910,エムケイシステム,情報・通信業
3912,モバイルファクトリー,情報・通信業
3918,PCIホールディングス,情報・通信業
3920,アイビーシー,情報・通信業
3928,マイネット,情報・通信業
3933,チエル,情報・通信業
3934,ベネフィットジャパン,情報・通信業
3940,ノムラシステムコーポレーション,情報・通信業
3943,大石産業,パルプ・紙
3944,古林紙工,パルプ・紙
3945,スーパーバッグ,パルプ・紙
3947,ダイナパック,パルプ・紙
3948,光ビジネスフォーム,パルプ・紙
3951,朝日印刷,パルプ・紙
3953,大村紙業,パルプ・紙
3954,昭和パックス,パルプ・紙
3955,イムラ,パルプ・紙
3958,笹徳印刷,パルプ・紙
3965,キャピタル・アセット・プランニング,情報・通信業
3969,エイトレッド,情報・通信業
3974,SCAT,情報・通信業
3981,ビーグリー,情報・通信業
3985,テモナ,情報・通信業
3988,SYSホールディングス,情報・通信業
3996,サインポスト,情報・通信業
3997,トレードワークス,情報・通信業
4012,アクシス[要曖昧さ回避],情報・通信業
4016,MITホールディングス,情報・通信業
4026,神島化学工業,ガラス・土石製品
4031,片倉コープアグリ,化学
4040,南海化学,化学
4059,まぐまぐ,情報・通信業
4080,田中化学研究所,化学
4094,日本化学産業,化学
4098,チタン工業,化学
4100,戸田工業,化学
4102,丸尾カルシウム,化学
4107,伊勢化学工業,化学
4113,田岡化学工業,化学
4119,日本ピグメントホールディングス,化学
4120,スガイ化学工業,化学
4124,大阪油化工業,化学
4125,三和油化工業,化学
4171,グローバルインフォメーション,情報・通信業
4172,東和ハイシステム,情報・通信業
4174,アピリッツ,情報・通信業
4193,ファブリカホールディングス,情報・通信業
4196,ネオマーケティング,情報・通信業
4197,アスマーク,情報・通信業
4198,テンダ[要曖昧さ回避],情報・通信業
4222,児玉化学工業,化学
4224,ロンシール工業,化学
4231,タイガースポリマー,化学
4234,サンエー化研,化学
4235,ウルトラファブリックス・ホールディングス,化学
4237,フジプレアム,化学
4238,ミライアル,化学
4241,アテクト,化学
4242,タカギセイコー,化学
4243,ニックス[要曖昧さ回避],化学
4245,ダイキアクシス,化学
4247,ポバール興業,化学
4248,竹本容器,化学
4274,細谷火工,化学
4284,ソルクシーズ,情報・通信業
4286,CLホールディングス,サービス業
4287,ジャストプランニング,情報・通信業
4288,アズジェント,情報・通信業
4293,セプテーニ・ホールディングス,サービス業
4295,フェイス,情報・通信業
4299,ハイマックス,情報・通信業
4304,Eストアー,情報・通信業
4317,レイ[要曖昧さ回避],サービス業
4319,TAC,サービス業
4320,CEホールディングス,情報・通信業
4334,ユークス,情報・通信業
4335,アイ・ピー・エス,情報・通信業
4341,西菱電機,サービス業
4346,NEXYZ.Group,サービス業
4347,ブロードメディア,サービス業
4350,メディカルシステムネットワーク,小売業
4351,山田債権回収管理総合事務所,その他金融業
4356,応用技術,情報・通信業
4360,マナック・ケミカル・パートナーズ,化学
4361,川口化学工業,化学
4365,松本油脂製薬,化学
4366,ダイトーケミックス,化学
4367,広栄化学工業,化学
4382,HEROZ,情報・通信業
4386,SIGグループ,情報・通信業
4398,ブロードバンドセキュリティ,情報・通信業
4404,ミヨシ油脂,食料品
4406,新日本理化,化学
4409,東邦化学工業,化学
4420,イーソル,情報・通信業
4421,ディ・アイ・システム,情報・通信業
4430,東海ソフト,情報・通信業
4434,サーバーワークス,情報・通信業
4439,東名,情報・通信業
4440,ヴィッツ,情報・通信業
4441,トビラシステムズ,情報・通信業
4463,日華化学,化学
4464,ソフト99コーポレーション,化学
4465,ニイタカ,化学
4491,コンピューターマネージメント,情報・通信業
4492,ゼネテック,情報・通信業
4494,バリオセキュア,情報・通信業
4499,Speee,情報・通信業
4512,わかもと製薬,医薬品
4524,森下仁丹,医薬品
4531,有機合成薬品工業,化学
4539,日本ケミファ,医薬品
4556,カイノス,医薬品
4558,中京医薬品,医薬品
4595,ミズホメディー,医薬品
4615,神東塗料,化学
4616,川上塗料,化学
4619,日本特殊塗料,化学
4620,藤倉化成,化学
4623,アサヒペン,化学
4624,イサム塗料,化学
4625,アトミクス,化学
4627,ナトコ,化学
4628,エスケー化研,化学
4629,大伸化学,化学
4635,東京インキ,化学
4642,オリジナル設計,サービス業
4644,イマジニア,情報・通信業
4645,市進ホールディングス,サービス業
4650,SDエンターテイメント,サービス業
4651,サニックス,サービス業
4657,環境管理センター,サービス業
4659,エイジス,サービス業
4664,アール・エス・シー,サービス業
4667,アイサンテクノロジー,情報・通信業
4671,ファルコホールディングス,サービス業
4673,川崎地質,サービス業
4678,秀英予備校,サービス業
4679,田谷,サービス業
4685,菱友システムズ,情報・通信業
4690,日本パレットプール,サービス業
4691,ワシントンホテル,サービス業
4705,クリップコーポレーション,サービス業
4707,キタック,サービス業
4712,KeyHolder,サービス業
4716,日本オラクル,情報・通信業
4720,城南進学研究社,サービス業
4728,トーセ,情報・通信業
4735,京進,サービス業
4736,日本ラッド,情報・通信業
4745,東京個別指導学院,サービス業
4746,東計電算,情報・通信業
4750,ダイサン,サービス業
4752,昭和システムエンジニアリング,情報・通信業
4754,トスネット,サービス業
4760,アルファ,サービス業
4761,さくらケーシーエス,情報・通信業
4762,エックスネット,情報・通信業
4766,ピーエイ,サービス業
4767,テー・オー・ダブリュー,サービス業
4769,IC[要曖昧さ回避],情報・通信業
4771,エフアンドエム,サービス業
4777,ガーラ,情報・通信業
4783,NCD[要曖昧さ回避],情報・通信業
4784,GMOアドパートナーズ,サービス業
4800,オリコン,情報・通信業
4814,ネクストウェア,情報・通信業
4816,東映アニメーション,情報・通信業
4829,日本エンタープライズ,情報・通信業
4832,JFEシステムズ,情報・通信業
4838,スペースシャワーSKIYAKIホールディングス,情報・通信業
4885,室町ケミカル,医薬品
4918,アイビー化粧品,化学
4920,日本色材工業研究所,化学
4925,ハーバー研究所,化学
4926,シーボン,化学
4929,アジュバンホールディングス,化学
4932,アルマード,化学
4935,リベルタ,化学
4955,アグロ カネショウ,化学
4957,ヤスハラケミカル,化学
4960,ケミプロ化成,化学
4966,上村工業,化学
4970,東洋合成工業,化学
4972,綜研化学,化学
4976,東洋ドライルーブ,化学
4977,新田ゼラチン,化学
4979,OATアグリオ,化学
4990,昭和化学工業,化学
4992,北興化学工業,化学
4994,大成ラミック,化学
4998,フマキラー,化学
5009,富士興産,卸売業
5010,日本精蝋,石油・石炭製品
5013,ユシロ化学工業,石油・石炭製品
5015,ビーピー・カストロール,石油・石炭製品
5018,MORESCO,石油・石炭製品
5036,日本ビジネスシステムズ,情報・通信業
5071,ヴィス,建設業
5078,セレコーポレーション,建設業
5079,ノバック,建設業
5103,昭和ホールディングス,ゴム製品
5133,テリロジーホールディングス,情報・通信業
5161,西川ゴム工業,ゴム製品
5162,朝日ラバー,ゴム製品
5184,ニチリン,ゴム製品
5187,クリエートメディック,精密機器
5189,櫻護謨,ゴム製品
5194,相模ゴム工業,ゴム製品
5199,不二ラテックス,ゴム製品
5204,石塚硝子,ガラス・土石製品
5210,日本山村硝子,ガラス・土石製品
5216,倉元製作所,ガラス・土石製品
5218,オハラ,ガラス・土石製品
5237,ノザワ,ガラス・土石製品
5250,プライム・ストラテジー,情報・通信業
5257,ノバシステム,情報・通信業
5268,旭コンクリート工業,ガラス・土石製品
5271,トーヨーアサノ,ガラス・土石製品
5273,三谷セキサン,ガラス・土石製品
5277,スパンクリートコーポレーション,ガラス・土石製品
5279,日本興業,ガラス・土石製品
5280,ヨシコン,不動産業
5282,ジオスター,ガラス・土石製品
5283,高見澤,卸売業
5284,ヤマウホールディングス,ガラス・土石製品
5285,ヤマックス,ガラス・土石製品
5287,イトーヨーギョー,ガラス・土石製品
5290,ベルテクスコーポレーション,ガラス・土石製品
5304,SECカーボン,ガラス・土石製品
5337,ダントーホールディングス,ガラス・土石製品
5341,ASAHI EITOホールディングス,ガラス・土石製品
5355,日本坩堝,ガラス・土石製品
5356,美濃窯業,ガラス・土石製品
5363,東京窯業,ガラス・土石製品
5367,ニッカトー,ガラス・土石製品
5368,日本インシュレーション,ガラス・土石製品
5380,新東,ガラス・土石製品
5381,Mipox,ガラス・土石製品
5386,鶴弥,ガラス・土石製品
5388,クニミネ工業,ガラス・土石製品
5391,エーアンドエーマテリアル,ガラス・土石製品
5395,理研コランダム,ガラス・土石製品
5446,北越メタル,鉄鋼
5449,大阪製鐵,鉄鋼
5458,高砂鐵工,鉄鋼
5464,モリ工業,鉄鋼
5476,日本高周波鋼業,鉄鋼
5484,東北特殊鋼,鉄鋼
5491,日本金属,鉄鋼
5533,エリッツホールディングス,不動産業
5542,新報国マテリアル,鉄鋼
5571,エキサイトホールディングス,情報・通信業
5576,オービーシステム,情報・通信業
5589,オートサーバー,情報・通信業
5603,虹技,鉄鋼
5609,日本鋳造,鉄鋼
5610,大和重工,鉄鋼
5612,日本鋳鉄管,鉄鋼
5644,メタルアート,鉄鋼
5658,日亜鋼業,鉄鋼
5660,神鋼鋼線工業,鉄鋼
5695,パウダーテック,鉄鋼
5697,サンユウ,鉄鋼
5699,イボキン,鉄鋼
5721,エス・サイエンス,非鉄金属
5724,アサカ理研,非鉄金属
5729,日本精鉱,非鉄金属
5742,エヌアイシ・オートテック,非鉄金属
5753,日本伸銅,非鉄金属
5816,オーナンバ,非鉄金属
5817,JMACS,非鉄金属
5819,カナレ電気,非鉄金属
5820,三ッ星,非鉄金属
5843,ニッポンインシュア,その他金融業
5845,全保連,その他金融業
5856,エルアイイーエイチ,小売業
5868,ロココ,サービス業
5869,早稲田学習研究会,サービス業
5871,SOLIZE,サービス業
5885,ジーデップ・アドバンス,卸売業
5889,Japan Eyewear Holdings,小売業
5891,魁力屋,小売業
5900,ダイケン,金属製品
5903,シンポ,金属製品
5905,日本製罐,金属製品
5906,エムケー精工,金属製品
5909,コロナ,金属製品
5918,瀧上工業,金属製品
5921,川岸工業,金属製品
5922,那須電機鉄工,金属製品
5923,高田機工,金属製品
5928,アルメタックス,金属製品
5935,元旦ビューティ工業,金属製品
5936,東洋シヤッター,金属製品
5939,大谷工業,金属製品
5940,不二サッシ,金属製品
5941,中西製作所,金属製品
5942,日本フイルコン,金属製品
5945,天龍製鋸,金属製品
5950,日本パワーファスニング,金属製品
5951,ダイニチ工業,金属製品
5952,アマテイ,金属製品
5955,ヤマシナ,金属製品
5956,トーソー,金属製品
5958,三洋工業,金属製品
5962,浅香工業,その他製品
5965,フジマック,金属製品
5966,京都機械工具,金属製品
5967,TONE,金属製品
5969,ロブテックス,金属製品
5971,共和工業所,金属製品
5973,トーアミ,金属製品
5974,中国工業,金属製品
5982,マルゼン,金属製品
5983,イワブチ,金属製品
5984,兼房,金属製品
5985,サンコール,金属製品
5986,モリテック スチール,金属製品
5987,オーネックス,金属製品
5990,スーパーツール,金属製品
5992,中央発條,金属製品
5994,ファインシンター,金属製品
5997,協立エアテック,金属製品
5998,アドバネクス,金属製品
6016,ジャパンエンジンコーポレーション,輸送用機器
6018,阪神内燃機工業,輸送用機器
6022,赤阪鐵工所,機械
6023,ダイハツディーゼル,輸送用機器
6029,アトラグループ,サービス業
6037,ファーストロジック,サービス業
6042,ニッキ,輸送用機器
6044,三機サービス,サービス業
6048,デザインワン・ジャパン,サービス業
6054,リブセンス,サービス業
6059,ウチヤマホールディングス,サービス業
6060,こころネット,サービス業
6061,ユニバーサル園芸社,サービス業
6063,日本エマージェンシーアシスタンス,サービス業
6074,ジェイエスエス,サービス業
6082,ライドオンエクスプレスホールディングス,サービス業
6083,ERIホールディングス,サービス業
6087,アビスト,サービス業
6091,ウエスコホールディングス,サービス業
6092,エンバイオ・ホールディングス,サービス業
6093,エスクロー・エージェント・ジャパン,サービス業
6096,レアジョブ,サービス業
6125,岡本工作機械製作所,機械
6131,浜井産業,機械
6137,小池酸素工業,機械
6138,ダイジェット工業,機械
6144,西部電機,機械
6145,NITTOKU,機械
6147,ヤマザキ[要曖昧さ回避],機械
6149,小田原エンジニアリング,機械
6150,タケダ機械,機械
6155,高松機械工業,機械
6156,エーワン精密,機械
6158,和井田製作所,機械
6159,ミクロン精密,機械
6161,エスティック,機械
6164,太陽工機,機械
6165,パンチ工業,機械
6171,土木管理総合試験所,サービス業
6185,SMN,サービス業
6186,一蔵,サービス業
6189,グローバルキッズCOMPANY,サービス業
6199,セラク,サービス業
6203,豊和工業,機械
6208,石川製作所,機械
6210,東洋機械金属,機械
6217,津田駒工業,機械
6218,エンシュウ,機械
6223,西部技研,機械
6226,守谷輸送機工業,機械
6227,AIメカテック,機械
6228,ジェイ・イー・ティ,機械
6229,オーケーエム,機械
6230,SANEI,機械
6231,木村工機,機械
6233,KLASS,機械
6239,ナガオカ,機械
6245,ヒラノテクシード,機械
6246,テクノスマート,機械
6248,横田製作所,機械
6249,ゲームカード・ジョイコホールディングス,機械
6257,藤商事,機械
6265,コンバム,機械
6267,ゼネラルパッカー,機械
6276,シリウスビジョン,電気機器
6286,靜甲,機械
6291,日本エアーテック,機械
6292,カワタ,機械
6297,鉱研工業,機械
6307,サンセイ,機械
6312,フロイント産業,機械
6316,丸山製作所,機械
6317,北川鉄工所,機械
6319,シンニッタン,鉄鋼
6322,タクミナ,機械
6324,ハーモニック・ドライブ・システムズ,機械
6325,タカキタ,機械
6327,北川精機,機械
6334,明治機械,機械
6335,東京機械製作所,機械
6336,石井表記,機械
6337,テセック,機械
6338,タカトリ,機械
